filter,rho,mse_mean
BlockSF,1.0,0.7298318425544132
BlockSF,2.0,0.6135662183645956
BlockSF,4.0,0.4968221739144936
BlockSF,8.0,0.3888448669717679
BlockSF,16.0,0.2982061744540856
BlockSF,32.0,0.2276600440928829
BlockSF,64.0,0.19141460156467535
BlockSF,128.0,0.17871245955678447
FullSF,1.0,0.7303456785418055
FullSF,2.0,0.6123121674220905
FullSF,4.0,0.4938066996017536
FullSF,8.0,0.38310002997920484
FullSF,16.0,0.2876141300768402
FullSF,32.0,0.21117689984022617
FullSF,64.0,0.170802412830165
FullSF,128.0,0.1510658144937702
DiagSF,1.0,0.7294563124202534
DiagSF,2.0,0.6121040374720746
DiagSF,4.0,0.4968677138058796
DiagSF,8.0,0.38809094871295924
DiagSF,16.0,0.2982340299011818
DiagSF,32.0,0.2360647136415491
DiagSF,64.0,0.21621906980508152
DiagSF,128.0,0.23350286040003596
